time,ssp119 - base,ssp119 - sce1,ssp119 - sce2,ssp119 - sce3,ssp119 - sce4,ssp119 - sce5,ssp119 - sce6,ssp126 - base,ssp126 - sce1,ssp126 - sce2,ssp126 - sce3,ssp126 - sce4,ssp126 - sce5,ssp126 - sce6,ssp534 - base,ssp534 - sce1,ssp534 - sce2,ssp534 - sce3,ssp534 - sce4,ssp534 - sce5,ssp534 - sce6,ssp434 - base,ssp434 - sce1,ssp434 - sce2,ssp434 - sce3,ssp434 - sce4,ssp434 - sce5,ssp434 - sce6,ssp245 - base,ssp245 - sce1,ssp245 - sce2,ssp245 - sce3,ssp245 - sce4,ssp245 - sce5,ssp245 - sce6,ssp460 - base,ssp460 - sce1,ssp460 - sce2,ssp460 - sce3,ssp460 - sce4,ssp460 - sce5,ssp460 - sce6,ssp370 - base,ssp370 - sce1,ssp370 - sce2,ssp370 - sce3,ssp370 - sce4,ssp370 - sce5,ssp370 - sce6,ssp585 - base,ssp585 - sce1,ssp585 - sce2,ssp585 - sce3,ssp585 - sce4,ssp585 - sce5,ssp585 - sce6
2015.5,39.271324157714844,39.271324157714844,39.271324157714844,39.271324157714844,39.271324157714844,39.271324157714844,39.271324157714844,39.28192901611328,39.28192901611328,39.28192901611328,39.28192901611328,39.28192901611328,39.28192901611328,39.28192901611328,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.357120513916016,39.357120513916016,39.357120513916016,39.357120513916016,39.357120513916016,39.357120513916016,39.357120513916016,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.38457489013672,39.70991897583008,39.70991897583008,39.70991897583008,39.70991897583008,39.70991897583008,39.70991897583008,39.70991897583008,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582,39.5912971496582
2016.5,78.79154205322266,78.79154205322266,78.79154205322266,78.79154205322266,78.79154205322266,78.79154205322266,78.79154205322266,78.83426284790039,78.83426284790039,78.83426284790039,78.83426284790039,78.83426284790039,78.83426284790039,78.83426284790039,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,79.2477035522461,79.2477035522461,79.2477035522461,79.2477035522461,79.2477035522461,79.2477035522461,79.2477035522461,79.13712310791016,79.13712310791016,79.13712310791016,79.13712310791016,79.13712310791016,79.13712310791016,79.13712310791016,79.24770736694336,79.24770736694336,79.24770736694336,79.24770736694336,79.24770736694336,79.24770736694336,79.24770736694336,80.55810928344727,80.55810928344727,80.55810928344727,80.55810928344727,80.55810928344727,80.55810928344727,80.55810928344727,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953,80.08032989501953
2017.5,118.5606575012207,118.5606575012207,118.5606575012207,118.5606575012207,118.5606575012207,118.5606575012207,118.5606575012207,118.6570053100586,118.6570053100586,118.6570053100586,118.6570053100586,118.6570053100586,118.6570053100586,118.6570053100586,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,119.58938217163086,119.58938217163086,119.58938217163086,119.58938217163086,119.58938217163086,119.58938217163086,119.58938217163086,119.34000396728516,119.34000396728516,119.34000396728516,119.34000396728516,119.34000396728516,119.34000396728516,119.34000396728516,119.58938980102539,119.58938980102539,119.58938980102539,119.58938980102539,119.58938980102539,119.58938980102539,119.58938980102539,122.54457092285156,122.54457092285156,122.54457092285156,122.54457092285156,122.54457092285156,122.54457092285156,122.54457092285156,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398,121.46709823608398
2018.5,158.57867050170898,158.57867050170898,158.57867050170898,158.57867050170898,158.57867050170898,158.57867050170898,158.57867050170898,158.7501564025879,158.7501564025879,158.7501564025879,158.7501564025879,158.7501564025879,158.7501564025879,158.7501564025879,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,160.40961456298828,160.40961456298828,160.40961456298828,160.40961456298828,160.40961456298828,160.40961456298828,160.40961456298828,159.96576309204102,159.96576309204102,159.96576309204102,159.96576309204102,159.96576309204102,159.96576309204102,159.96576309204102,160.4096221923828,160.4096221923828,160.4096221923828,160.4096221923828,160.4096221923828,160.4096221923828,160.4096221923828,165.66930389404297,165.66930389404297,165.66930389404297,165.66930389404297,165.66930389404297,165.66930389404297,165.66930389404297,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156,163.75160217285156
2019.5,198.84558486938477,198.84558486938477,198.84558486938477,198.84558486938477,198.84558486938477,198.84558486938477,198.84558486938477,199.11371231079102,199.11371231079102,199.11371231079102,199.11371231079102,199.11371231079102,199.11371231079102,199.11371231079102,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,201.7083969116211,201.7083969116211,201.7083969116211,201.7083969116211,201.7083969116211,201.7083969116211,201.7083969116211,201.01440048217773,201.01440048217773,201.01440048217773,201.01440048217773,201.01440048217773,201.01440048217773,201.01440048217773,201.70840454101562,201.70840454101562,201.70840454101562,201.70840454101562,201.70840454101562,201.70840454101562,201.70840454101562,209.93230819702148,209.93230819702148,209.93230819702148,209.93230819702148,209.93230819702148,209.93230819702148,209.93230819702148,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227,206.93384170532227
2020.5,238.52849578857422,238.3489875793457,238.3489875793457,238.18230438232422,238.18230438232422,238.01562118530273,238.01562118530273,239.49410247802734,239.3145980834961,239.3145980834961,239.14791107177734,239.14791107177734,238.9812240600586,238.9812240600586,251.0951805114746,250.9156723022461,250.9156723022461,250.7489891052246,250.7489891052246,250.58230590820312,250.58230590820312,243.1234245300293,242.94391632080078,242.94391632080078,242.7772331237793,242.7772331237793,242.6105499267578,242.6105499267578,242.4178009033203,242.23829650878906,242.23829650878906,242.0716094970703,242.0716094970703,241.90492248535156,241.90492248535156,243.5546112060547,243.37510681152344,243.37510681152344,243.2084197998047,243.2084197998047,243.04173278808594,243.04173278808594,255.17666244506836,254.9971580505371,254.9971580505371,254.83047103881836,254.83047103881836,254.6637840270996,254.6637840270996,251.0951805114746,250.9156723022461,250.9156723022461,250.7489891052246,250.7489891052246,250.58230590820312,250.58230590820312
2021.5,276.77136611938477,276.0483512878418,276.0483512878418,275.3769836425781,275.3769836425781,274.70561599731445,274.70561599731445,279.63071060180664,278.9077033996582,278.9077033996582,278.23633193969727,278.23633193969727,277.5649604797363,277.5649604797363,296.3192367553711,295.5962219238281,295.5962219238281,294.92485427856445,294.92485427856445,294.2534866333008,294.2534866333008,284.2823257446289,283.55931091308594,283.55931091308594,282.887939453125,282.887939453125,282.2165718078613,282.2165718078613,284.10595321655273,283.38293838500977,283.38293838500977,282.7115707397461,282.7115707397461,282.04019927978516,282.04019927978516,286.0190315246582,285.2960205078125,285.2960205078125,284.62464904785156,284.62464904785156,283.9532775878906,283.9532775878906,301.24108123779297,300.51807022094727,300.51807022094727,299.8466987609863,299.8466987609863,299.1753273010254,299.1753273010254,296.3192367553711,295.5962219238281,295.5962219238281,294.92485427856445,294.92485427856445,294.2534866333008,294.2534866333008
2022.5,313.5741958618164,311.94367599487305,311.94367599487305,310.4296226501465,310.4296226501465,308.9155731201172,308.9155731201172,319.5235404968262,317.89302825927734,317.89302825927734,316.3789710998535,316.3789710998535,314.8649139404297,314.8649139404297,342.6060104370117,340.97549057006836,340.97549057006836,339.4614372253418,339.4614372253418,337.94738388061523,337.94738388061523,325.1851005554199,323.55458068847656,323.55458068847656,322.04051971435547,322.04051971435547,320.5264701843262,320.5264701843262,326.078857421875,324.4483337402344,324.4483337402344,322.9342842102051,322.9342842102051,321.42022705078125,321.42022705078125,329.1016654968262,327.4711456298828,327.4711456298828,325.95709228515625,325.95709228515625,324.4430351257324,324.4430351257324,348.1255645751953,346.4950485229492,346.4950485229492,344.9809913635254,344.9809913635254,343.4669380187988,343.4669380187988,342.6060104370117,340.97549057006836,340.97549057006836,339.4614372253418,339.4614372253418,337.94738388061523,337.94738388061523
2023.5,348.9369926452637,346.03496170043945,346.03496170043945,343.34022521972656,343.34022521972656,340.6454906463623,340.6454906463623,359.17259216308594,356.2705726623535,356.2705726623535,353.5758285522461,353.5758285522461,350.88108825683594,350.88108825683594,389.95550537109375,387.0534782409668,387.0534782409668,384.3587417602539,384.3587417602539,381.6639976501465,381.6639976501465,365.8317527770996,362.9297218322754,362.9297218322754,360.23497772216797,360.23497772216797,357.5402412414551,357.5402412414551,368.33650970458984,365.4344825744629,365.4344825744629,362.73974990844727,362.73974990844727,360.04500579833984,360.04500579833984,372.8025093078613,369.9004821777344,369.9004821777344,367.2057456970215,367.2057456970215,364.51100158691406,364.51100158691406,395.83011627197266,392.9280891418457,392.9280891418457,390.23334884643555,390.23334884643555,387.53861236572266,387.53861236572266,389.95550537109375,387.0534782409668,387.0534782409668,384.3587417602539,384.3587417602539,381.6639976501465,381.6639976501465
2024.5,382.85974884033203,378.322208404541,378.322208404541,374.1087894439697,374.1087894439697,369.8953685760498,369.8953685760498,398.5778617858887,394.0403366088867,394.0403366088867,389.82690811157227,389.82690811157227,385.6134834289551,385.6134834289551,438.3677177429199,433.83018493652344,433.83018493652344,429.6167640686035,429.6167640686035,425.4033317565918,425.4033317565918,406.2222785949707,401.6847381591797,401.6847381591797,397.47130966186523,397.47130966186523,393.2578887939453,393.2578887939453,410.87891387939453,406.34138107299805,406.34138107299805,402.1279640197754,402.1279640197754,397.91453552246094,397.91453552246094,417.1215629577637,412.5840301513672,412.5840301513672,408.37060928344727,408.37060928344727,404.1571807861328,404.1571807861328,444.35473251342773,439.81719970703125,439.81719970703125,435.6037712097168,435.6037712097168,431.3903503417969,431.3903503417969,438.3677177429199,433.83018493652344,433.83018493652344,429.6167640686035,429.6167640686035,425.4033317565918,425.4033317565918
