time,ssp585 - sce1,ssp370 - sce1,ssp460 - sce1,ssp245 - sce1,ssp434 - sce1,ssp534 - sce1,ssp126 - sce1,ssp119 - sce1,ssp585 - sce2,ssp370 - sce2,ssp460 - sce2,ssp245 - sce2,ssp434 - sce2,ssp534 - sce2,ssp126 - sce2,ssp119 - sce2,ssp585 - sce3,ssp370 - sce3,ssp460 - sce3,ssp245 - sce3,ssp434 - sce3,ssp534 - sce3,ssp126 - sce3,ssp119 - sce3,ssp585 - sce4,ssp370 - sce4,ssp460 - sce4,ssp245 - sce4,ssp434 - sce4,ssp534 - sce4,ssp126 - sce4,ssp119 - sce4,ssp585 - sce5,ssp370 - sce5,ssp460 - sce5,ssp245 - sce5,ssp434 - sce5,ssp534 - sce5,ssp126 - sce5,ssp119 - sce5,ssp585 - sce6,ssp370 - sce6,ssp460 - sce6,ssp245 - sce6,ssp434 - sce6,ssp534 - sce6,ssp126 - sce6,ssp119 - sce6
2015.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.5,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,0.0,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,0.0,-0.0078125,-0.0078125,-0.0078125,-0.00390625,-0.0078125,-0.0078125,-0.0078125,-0.00390625,-0.0078125,-0.0078125,-0.0078125,-0.00390625,-0.0078125,-0.0078125,-0.0078125,-0.00390625,-0.0078125,-0.01171875,-0.0078125,-0.0078125,-0.01171875,-0.0078125,-0.01171875,-0.0078125,-0.0078125,-0.01171875,-0.0078125,-0.0078125,-0.01171875,-0.0078125,-0.01171875,-0.0078125
2022.5,-0.01171875,-0.01171875,-0.01171875,-0.015625,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.015625,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.0234375,-0.0234375,-0.0234375,-0.02734375,-0.02734375,-0.02734375,-0.02734375,-0.02734375,-0.0234375,-0.0234375,-0.0234375,-0.02734375,-0.02734375,-0.02734375,-0.02734375,-0.02734375,-0.03515625,-0.03515625,-0.03515625,-0.0390625,-0.0390625,-0.03515625,-0.0390625,-0.0390625,-0.03515625,-0.03515625,-0.03515625,-0.0390625,-0.0390625,-0.03515625,-0.0390625,-0.0390625
2023.5,-0.03125,-0.03515625,-0.02734375,-0.03125,-0.02734375,-0.03125,-0.02734375,-0.03125,-0.03125,-0.03515625,-0.02734375,-0.03125,-0.02734375,-0.03125,-0.02734375,-0.03125,-0.0625,-0.0625,-0.05859375,-0.05859375,-0.0546875,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.05859375,-0.05859375,-0.0546875,-0.0625,-0.0625,-0.0625,-0.08984375,-0.08984375,-0.08984375,-0.09375,-0.0859375,-0.08984375,-0.08984375,-0.08984375,-0.08984375,-0.08984375,-0.08984375,-0.09375,-0.0859375,-0.08984375,-0.08984375,-0.08984375
2024.5,-0.05859375,-0.06640625,-0.05859375,-0.0625,-0.05859375,-0.0625,-0.05859375,-0.05859375,-0.05859375,-0.06640625,-0.05859375,-0.0625,-0.05859375,-0.0625,-0.05859375,-0.05859375,-0.12109375,-0.125,-0.1171875,-0.1171875,-0.11328125,-0.12109375,-0.12109375,-0.1171875,-0.12109375,-0.125,-0.1171875,-0.1171875,-0.11328125,-0.12109375,-0.12109375,-0.1171875,-0.17578125,-0.17578125,-0.171875,-0.17578125,-0.171875,-0.17578125,-0.171875,-0.17578125,-0.17578125,-0.17578125,-0.171875,-0.17578125,-0.171875,-0.17578125,-0.171875,-0.17578125
