year,variable,scenario,sce1,sce2,sce3,sce4,sce5,sce6,sce7,sce8,sce9
2100,L_permacarb,ssp119,0.8560883716532506,2.675316225454767,4.661530991136232,5.808324025121755,6.698707213610235,8.818896123563905,3.9685833836804747,7.868577133690491,11.78283368135628
2100,L_permacarb,ssp126,4.30152937299369,5.353049591719659,6.199392156623418,9.328442920089346,9.486018381769581,11.934479854508172,6.316566783434436,11.488972158820442,14.394780846830793
2100,L_permacarb,ssp534,1.827302871755785,1.8497412463626683,3.4767014876998528,4.5723530731669095,4.523291389006621,6.408203897153888,2.587536373317567,5.634703261399941,8.632096135969427
2100,L_permacarb,ssp434,2.0588405909196377,2.2846894578080286,3.2007502513728823,4.067309923427953,5.287821950653569,7.311567019877795,2.708929538247351,6.235787763941527,9.586588289890944
2100,L_permacarb,ssp245,1.3686640132903531,1.4731396821679847,2.1112927881493806,3.2551212318958647,3.6132533444905053,4.643272086246466,2.7085890298910127,5.160328394210607,7.495965487003178
2100,L_permacarb,ssp460,0.9560167644111806,1.294824508793415,1.8748271663907314,2.663989915495588,2.7083789733773393,3.9533555757469108,2.2365477092588537,4.375338933441553,6.593929904075102
2100,L_permacarb,ssp370,0.8277995252007666,1.1484244067266234,1.5476408977255973,2.109215859136876,2.1039202529855485,3.101901303140355,1.8191610676664127,3.433538638367269,5.223152630802976
2100,L_permacarb,ssp585,0.554490394570643,0.772480053582191,0.9567728378228699,1.3463149503361107,1.3613953418230738,2.103922617831159,1.2227597428429242,2.2603426784959337,3.2845612672104965
2100,O_dsealev,ssp119,0.9483837632255304,1.3594413447335558,1.878923517884367,2.665856505652107,2.760448938161571,3.9368627346152443,3.096083750322202,5.995081036524096,8.856750680172006
2100,O_dsealev,ssp126,0.8617731104123023,1.2327347601595198,1.6263916489846086,2.305440092589685,2.4095711895352125,3.398500800739282,2.594104585073502,4.989622239468148,7.355381999739816
2100,O_dsealev,ssp534,0.7313190939111829,1.0142296052269166,1.3723265605207995,1.92757582467117,2.000894509933836,2.857451098368778,2.15269568396668,4.141004185824291,6.152214095199845
2100,O_dsealev,ssp434,0.7150836573842823,0.9875811385665156,1.3552055445407594,1.9211449911144243,2.0019395566539773,2.8664474964400464,2.149500754123202,4.171617642367087,6.197692063964455
2100,O_dsealev,ssp245,0.5942266681153895,0.8394945843269194,1.1312176408148937,1.6223398202254995,1.7013526484946246,2.4217056396679166,1.7288389493844962,3.359336193489362,4.988578449305095
2100,O_dsealev,ssp460,0.5420704402540432,0.7557202008463023,1.037325195916157,1.4804513181655192,1.5333843769279023,2.1857826892622265,1.566552891925501,3.017913944540391,4.465308993105935
2100,O_dsealev,ssp370,0.4600172735130058,0.646298092517844,0.8659937134757214,1.2344790294915984,1.2864383369173953,1.8291489664670872,1.2536621850252803,2.412465124581704,3.5822749219782506
2100,O_dsealev,ssp585,0.391303173877232,0.5572608137602878,0.7606994939154896,1.0780705155737689,1.1245564697174628,1.6072449055430464,1.030039668942066,1.989167380889485,2.960125350627964
2100,O_motmax,ssp119,2.718878520502411,4.542116350586729,6.643434835308502,9.536585172207548,10.240553329557663,15.950171757644407,8.663241217600262,17.385036177611696,28.15330097549873
2100,O_motmax,ssp126,1.2031545839391466,2.203360851013418,3.517210697825458,3.9894824796915156,4.786278324439204,7.316809842342218,4.099883675452412,7.9703950035477105,12.68332458833755
2100,O_motmax,ssp534,1.285909610257316,2.2993011340460043,2.5579935777860934,3.8556378193434786,3.8895621390859656,5.711769367057083,3.054624396610564,5.765854782065114,8.853155133386243
2100,O_motmax,ssp434,1.4817393581830671,2.126920933814756,2.7825076182576276,4.083956586385256,4.30042174726088,6.328931745403518,3.3530382107361922,6.56526709849489,9.289687629557381
2100,O_motmax,ssp245,1.0786922148542912,1.552147322457725,1.9540566562249975,2.8270615516048982,2.860149437912751,4.248321874618608,2.077295472112607,4.175501403523047,6.266872787925634
2100,O_motmax,ssp460,0.8264825304526543,1.1405082961551958,1.8619229034036795,2.690535866459472,2.846934683442779,4.080430096746704,1.6117599879693216,3.157276053937541,4.8484886460474215
2100,O_motmax,ssp370,0.5430338110901137,0.8630800793987025,0.7963432803849981,1.3807900837304063,1.5153109068493282,2.156141261144617,0.98022648622661,1.9914651155041676,2.7874513873352402
2100,O_motmax,ssp585,0.5222909558437799,0.7790777402851471,1.0258859929513067,1.4720878783406786,1.431023233163772,2.08584502123259,0.8249878365901476,1.6250625317637022,2.3829663143795066
2100,O_temp,ssp119,0.9708975727560681,1.3562466093834764,1.874245314386714,2.650368374079065,2.74241814395464,3.8984652538368656,2.7973680065799833,5.424286439283902,8.000279999300002
2100,O_temp,ssp126,0.8555405701544737,1.2260247881739204,1.6232768218660698,2.3001201610187065,2.4074855755300986,3.3933354022011377,2.3764525584589977,4.570236836338339,6.739753589019901
2100,O_temp,ssp534,0.7210526713728732,1.000803969948158,1.359692122354649,1.912263944090065,1.9849740788999475,2.8315367923363266,1.955108737565559,3.7608907684591757,5.604855071185364
2100,O_temp,ssp434,0.7249981149542107,0.9984723208747119,1.3677512069045268,1.9453672544418967,2.023176875588879,2.8896009468949333,1.9800901146931555,3.8650091781136995,5.738396196706271
2100,O_temp,ssp245,0.6023145008500274,0.8498634655434246,1.1473593957400812,1.640817928009701,1.727815268361111,2.45133586274093,1.611745952465134,3.127423233863824,4.649111638025488
2100,O_temp,ssp460,0.5510109058213886,0.779302621491332,1.054155812357255,1.498095394829268,1.557601762913785,2.216888168167204,1.4550460998743642,2.806432708633541,4.158321057427158
2100,O_temp,ssp370,0.4695418356240327,0.659209407096404,0.8814828492687679,1.2577909219893733,1.3164295966169464,1.865453647554754,1.178308706675598,2.268313450527078,3.367053454168211
2100,O_temp,ssp585,0.3980641300549665,0.5668458032817021,0.7777453297079402,1.0977013968312326,1.1508334952504944,1.6407347122082436,0.9709600116968182,1.8828929768285878,2.8078568799668333
2100,O_totcarb,ssp119,0.8508258015132334,1.2894868548885683,1.8665175022816263,2.714399269879589,2.7526717107781082,3.9744457856154507,5.782082609591662,11.361026879029646,16.869314334501134
2100,O_totcarb,ssp126,0.7813481922158447,1.129079559260966,1.430726046336252,2.115714944069714,2.1261887804264945,3.0541706816372702,4.084796179144496,7.89936738028405,11.711843814152248
2100,O_totcarb,ssp534,0.7169977924944813,0.9377483443708609,1.2415011037527595,1.700662251655629,1.7483443708609274,2.5147902869757175,3.3571743929359825,6.38233995584989,9.490507726269316
2100,O_totcarb,ssp434,0.7153046246718074,1.0109363048107338,1.378925389179467,1.9825928758967148,2.079758533005313,3.036943623245333,3.8948957019701886,7.638874532261066,11.428335159496394
2100,O_totcarb,ssp245,0.49278227097456745,0.6820997536088645,0.9340590503500982,1.3447109428289044,1.396216434427941,1.9864415273466318,2.3219232428971144,4.519954897893843,6.734691036652421
2100,O_totcarb,ssp460,0.44907256752359254,0.6313049137650504,0.856492027334852,1.2404816140579238,1.2769280833062155,1.8665798893589325,2.116498535632932,4.0794012365766354,6.044907256752359
2100,O_totcarb,ssp370,0.3663885603023229,0.5213185800873051,0.7107938069865064,1.0122792508924179,1.0332157400525506,1.4969589749494907,1.4728820124153381,2.849456174694066,4.236498581552859
2100,O_totcarb,ssp585,0.3042242716923238,0.4245192559145034,0.5761955403685559,0.8159138060286965,0.8533970257501003,1.2099234644955457,1.0477867466308688,2.015376837113618,2.9960424693596472
2300,L_permacarb,ssp119,0.5658828849738353,1.7947938774582408,3.38201760577703,4.345573790888927,5.042818072839775,6.5123190191682365,5.040544970341995,9.826622097906114,14.442814723004515
2300,L_permacarb,ssp126,2.622935192844587,3.329945843242684,3.560419036294075,5.4324785441009205,5.28650411022645,6.352190181987385,6.052082256229966,11.152786035570262,13.775882793919966
2300,L_permacarb,ssp534,1.180125879182503,1.0817763604390258,2.2044234729340624,2.698836550481188,2.9696907150262892,4.249874756432872,2.7716247627548527,5.992691106647375,9.212595572973086
2300,L_permacarb,ssp434,0.8732842662014767,0.5207988100983056,0.2815547272388247,0.5568526827612311,1.6706199965185093,2.127488228286679,2.5846042529941133,5.8823565851902835,8.927731808745975
2300,L_permacarb,ssp245,0.11564567548072589,0.1828113890391882,0.15025845557848772,0.30136291959719697,0.3392493845288597,0.43551043183581256,1.7687461676737233,3.7382170335339353,5.479449535412626
2300,L_permacarb,ssp460,0.5541299481371332,0.27058759882383737,0.1491112251597046,0.06582650869474309,0.5054107284634584,0.1828286683072118,1.7163143588641345,2.2480732367429477,3.508193221711928
2300,L_permacarb,ssp370,0.07019524651270398,0.0932590575051314,0.11651407107573439,0.16849727201721587,0.16883187652902312,0.23317154408510044,0.34449924522782266,0.6445438910298267,0.9647126081848088
2300,L_permacarb,ssp585,0.051545745393574836,0.07543771339311625,0.09541112994006183,0.1375299601248204,0.15018128338605838,0.20593667262585041,0.2398377406214509,0.45381304165576936,0.6735206236721709
2300,O_dsealev,ssp119,0.2993889906249478,0.40745491703709213,0.6940780197670375,0.9134529865063997,1.0217461374603645,1.4392299195023492,4.496835652955929,8.628800333689568,12.68174251581102
2300,O_dsealev,ssp126,0.2541470561479022,0.22449609494048306,0.4056964134302664,0.5865997981168282,0.7414578463493765,0.8589587941956581,2.898540529705514,5.693493581201418,8.621487116245536
