time,sce1,sce2,sce3,sce4,sce5,sce6
2043.5,-56.84483337402344,-69.13507318496704,-109.62931680679321,-133.33191657066345,-162.4138045310974,-197.52876394987106
2044.5,-58.520230293273926,-72.77507305145264,-112.86043977737427,-140.35191655158997,-167.2006540298462,-207.9287639260292
2045.5,-60.05002737045288,-76.41507244110107,-115.81076288223267,-147.3719161748886,-171.57150268554688,-218.32876366376877
2046.5,-61.43422508239746,-80.05507326126099,-118.48028659820557,-154.39191663265228,-175.52635288238525,-228.72876423597336
2047.5,-62.67282199859619,-83.69507312774658,-120.8690094947815,-161.41191637516022,-179.06520223617554,-239.1287640929222
2048.5,-63.76581907272339,-87.33507323265076,-122.97693252563477,-168.43191638588905,-182.18805170059204,-249.52876418828964
2049.5,-64.71321678161621,-90.97507357597351,-124.80405616760254,-175.45191672444344,-184.89490151405334,-259.9287642836571
2050.5,-65.51501417160034,-94.6150734424591,-126.3503794670105,-182.47191634774208,-187.18575072288513,-270.3287643790245
2051.5,-66.17121124267578,-97.89605975151062,-127.6159029006958,-188.7995327413082,-189.06060004234314,-279.70301097631454
2052.5,-66.68180847167969,-100.44904589653015,-128.6006259918213,-193.7231489866972,-190.5194492340088,-286.99725764989853
2053.5,-67.0468053817749,-102.2740318775177,-129.30454874038696,-197.24276511371136,-191.5622980594635,-292.2115039527416
2054.5,-67.26620292663574,-103.37101817131042,-129.72767210006714,-199.35838143527508,-192.1891474723816,-295.3457505404949
2055.5,-67.33999967575073,-103.74000406265259,-129.8699951171875,-200.06999771296978,-192.39999675750732,-296.3999969661236
2056.5,-67.33999967575073,-103.74000406265259,-129.8699951171875,-200.06999771296978,-192.39999675750732,-296.3999969661236
2057.5,-67.24565649032593,-103.59466481208801,-129.6880476474762,-199.78970067203045,-192.13044476509094,-295.98474165797234
2058.5,-66.96000695228577,-103.15460968017578,-129.13715147972107,-198.94102256000042,-191.31430220603943,-294.72744128108025
2059.5,-66.48305058479309,-102.4198386669159,-128.21730661392212,-197.52396385371685,-189.95156908035278,-292.62809535861015
2060.5,-65.81478691101074,-101.39035153388977,-126.92851257324219,-195.53852407634258,-188.04224491119385,-289.6867034137249
2061.5,-64.95521640777588,-100.06614851951599,-125.27077007293701,-192.9847044199705,-185.5863299369812,-285.9032661616802
2062.5,-63.9043390750885,-98.44722986221313,-123.24407839775085,-189.86250369250774,-182.5838234424591,-281.2777838408947
2063.5,-62.66215515136719,-96.53359532356262,-120.8484377861023,-186.17192213237286,-179.03472661972046,-275.81025621294975
2064.5,-61.22866451740265,-94.32524478435516,-118.0838485956192,-181.91296009719372,-174.9390388727188,-269.5006831586361
2065.5,-59.603866934776306,-91.82217824459076,-114.95031034946442,-177.08561711013317,-170.296759724617,-262.3490637242794
2066.5,-57.78776252269745,-89.02439606189728,-111.44782340526581,-171.68989352881908,-165.10789000988007,-254.35539969801903
2067.5,-55.78035128116608,-85.93189752101898,-107.5763875246048,-165.72578959167004,-159.37242901325226,-245.51969036459923
2068.5,-53.67597621679306,-82.69002240896225,-103.51795023679733,-159.47360192239285,-153.3599287867546,-236.25719013810158
2069.5,-51.571601152420044,-79.4481475353241,-99.45951247215271,-153.22141425311565,-147.34742903709412,-226.9946903884411
2070.5,-49.46722611784935,-76.20627245306969,-95.40107497572899,-146.96922685205936,-141.3349286019802,-217.73219043016434
2071.5,-47.362851158715785,-72.9643974462524,-91.3426375547424,-140.71703904960304,-135.3224287191406,-208.46969054732472
2072.5,-45.25847636256367,-69.72252248320729,-87.28419993910939,-134.4648512909189,-129.3099293569103,-199.20719070825726
2073.5,-43.15410147700459,-66.48064754996449,-83.22576211486012,-128.21266332361847,-123.29742930922657,-189.9446911374107
2074.5,-41.049726710654795,-63.23877285514027,-79.16732429061085,-121.96047559473664,-117.2849299767986,-180.6821908513084
2075.5,-38.94535206351429,-59.99689816031605,-75.10888670478016,-115.70828762743622,-111.27243040595204,-171.4196908036247
2076.5,-36.840977118350565,-56.75502334628254,-71.05044899974018,-109.4560997793451,-105.25993047747761,-162.15719087515026
2077.5,-34.73660217318684,-53.513148413039744,-66.99201153311878,-103.20391216967255,-99.24743078742176,-152.89469070825726
2078.5,-32.63222728762776,-50.271273479796946,-62.933574185706675,-96.95172444079071,-93.23493097815663,-143.6321899453178
