time,ssp585 - sce1,ssp370 - sce1,ssp460 - sce1,ssp245 - sce1,ssp434 - sce1,ssp534 - sce1,ssp126 - sce1,ssp119 - sce1,ssp585 - sce2,ssp370 - sce2,ssp460 - sce2,ssp245 - sce2,ssp434 - sce2,ssp534 - sce2,ssp126 - sce2,ssp119 - sce2,ssp585 - sce3,ssp370 - sce3,ssp460 - sce3,ssp245 - sce3,ssp434 - sce3,ssp534 - sce3,ssp126 - sce3,ssp119 - sce3,ssp585 - sce4,ssp370 - sce4,ssp460 - sce4,ssp245 - sce4,ssp434 - sce4,ssp534 - sce4,ssp126 - sce4,ssp119 - sce4,ssp585 - sce5,ssp370 - sce5,ssp460 - sce5,ssp245 - sce5,ssp434 - sce5,ssp534 - sce5,ssp126 - sce5,ssp119 - sce5,ssp585 - sce6,ssp370 - sce6,ssp460 - sce6,ssp245 - sce6,ssp434 - sce6,ssp534 - sce6,ssp126 - sce6,ssp119 - sce6
2015.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.5,-2.3841858e-07,0.0,7.1525574e-07,-7.1525574e-07,0.0,0.0,-2.3841858e-07,0.0,-2.3841858e-07,0.0,7.1525574e-07,-7.1525574e-07,0.0,0.0,-2.3841858e-07,0.0,-4.7683716e-07,0.0,4.7683716e-07,-2.3841858e-07,-4.7683716e-07,2.3841858e-07,-2.3841858e-07,-2.3841858e-07,-4.7683716e-07,0.0,4.7683716e-07,-2.3841858e-07,-4.7683716e-07,2.3841858e-07,-2.3841858e-07,-2.3841858e-07,-2.3841858e-07,-2.3841858e-07,4.7683716e-07,-4.7683716e-07,-2.3841858e-07,0.0,0.0,-2.3841858e-07,-2.3841858e-07,-2.3841858e-07,4.7683716e-07,-4.7683716e-07,-2.3841858e-07,0.0,0.0,-2.3841858e-07
2021.5,-2.3841858e-07,3.0994415e-06,5.9604645e-06,-3.5762787e-06,-1.4305115e-06,-2.861023e-06,-7.1525574e-07,-2.6226044e-06,-2.3841858e-07,3.0994415e-06,5.9604645e-06,-3.5762787e-06,-1.4305115e-06,-2.861023e-06,-7.1525574e-07,-2.6226044e-06,-3.33786e-06,4.7683716e-07,9.536743e-07,-7.1525574e-07,-7.1525574e-06,1.4305115e-06,1.9073486e-06,-4.053116e-06,-3.33786e-06,4.7683716e-07,9.536743e-07,-7.1525574e-07,-7.1525574e-06,1.4305115e-06,1.9073486e-06,-4.053116e-06,-2.861023e-06,-2.861023e-06,1.9073486e-06,-4.2915344e-06,-1.66893e-06,-2.6226044e-06,4.2915344e-06,-4.7683716e-06,-2.861023e-06,-2.861023e-06,1.9073486e-06,-4.2915344e-06,-1.66893e-06,-2.6226044e-06,4.2915344e-06,-4.7683716e-06
2022.5,-3.0994415e-06,0.0,8.821487e-06,-2.1457672e-06,-2.861023e-06,-2.1457672e-06,-8.106232e-06,-7.867813e-06,-3.0994415e-06,0.0,8.821487e-06,-2.1457672e-06,-2.861023e-06,-2.1457672e-06,-8.106232e-06,-7.867813e-06,-1.0967255e-05,-5.9604645e-06,-1.9073486e-06,-7.1525574e-07,-1.3589859e-05,-5.9604645e-06,-1.1920929e-06,-1.335144e-05,-1.0967255e-05,-5.9604645e-06,-1.9073486e-06,-7.1525574e-07,-1.3589859e-05,-5.9604645e-06,-1.1920929e-06,-1.335144e-05,-1.3589859e-05,-1.4305115e-05,-4.053116e-06,-8.583069e-06,-3.33786e-06,-8.821487e-06,-2.6226044e-06,-1.5258789e-05,-1.3589859e-05,-1.4305115e-05,-4.053116e-06,-8.583069e-06,-3.33786e-06,-8.821487e-06,-2.6226044e-06,-1.5258789e-05
2023.5,-2.1457672e-06,-1.1205673e-05,5.722046e-06,-6.914139e-06,-1.1920929e-05,-2.6226044e-06,-1.5974045e-05,-1.3828278e-05,-2.1457672e-06,-1.1205673e-05,5.722046e-06,-6.914139e-06,-1.1920929e-05,-2.6226044e-06,-1.5974045e-05,-1.3828278e-05,-2.2172928e-05,-1.7642975e-05,-1.21593475e-05,-6.914139e-06,-2.4557114e-05,-1.5974045e-05,-9.298325e-06,-1.9550323e-05,-2.2172928e-05,-1.7642975e-05,-1.21593475e-05,-6.914139e-06,-2.4557114e-05,-1.5974045e-05,-9.298325e-06,-1.9550323e-05,-2.169609e-05,-3.504753e-05,-1.9073486e-05,-2.7418137e-05,-1.66893e-05,-2.7418137e-05,-1.4781952e-05,-2.8848648e-05,-2.169609e-05,-3.504753e-05,-1.9073486e-05,-2.7418137e-05,-1.66893e-05,-2.7418137e-05,-1.4781952e-05,-2.8848648e-05
2024.5,-1.2874603e-05,-2.2888184e-05,-4.7683716e-06,-2.026558e-05,-2.503395e-05,-7.6293945e-06,-2.5987625e-05,-3.0517578e-05,-1.2874603e-05,-2.2888184e-05,-4.7683716e-06,-2.026558e-05,-2.503395e-05,-7.6293945e-06,-2.5987625e-05,-3.0517578e-05,-3.7431717e-05,-4.36306e-05,-3.2186508e-05,-2.4080276e-05,-4.6491623e-05,-3.0994415e-05,-2.7656555e-05,-3.6478043e-05,-3.7431717e-05,-4.36306e-05,-3.2186508e-05,-2.4080276e-05,-4.6491623e-05,-3.0994415e-05,-2.7656555e-05,-3.6478043e-05,-5.4597855e-05,-6.175041e-05,-4.506111e-05,-5.6743622e-05,-4.196167e-05,-5.4597855e-05,-3.7908554e-05,-5.698204e-05,-5.4597855e-05,-6.175041e-05,-4.506111e-05,-5.6743622e-05,-4.196167e-05,-5.4597855e-05,-3.7908554e-05,-5.698204e-05
